target_gene,n_real,n_src,k_opt,K_P0_leak,jac_P0_leak,K_P1_const,jac_P1_const,K_P2_ratio,jac_P2_ratio,K_P3_regime,jac_P3_regime,K_P4_all,jac_P4_all,K_P5_oracle,jac_P5_oracle
STRAP,3027,828,6326,6025,0.4318253717178108,288,0.060121522225775506,1656,0.2255953938759487,7016,0.431442417331813,7016,0.431442417331813,6326,0.4418066903036843
SUPV3L1,1765,267,5943,6025,0.2650211107502436,288,0.064282011404873,534,0.1010536398467433,7016,0.2515678449258837,7016,0.2515678449258837,5943,0.266721446179129
WAC,2739,145,6314,6025,0.3991060025542784,288,0.05396935933147632,290,0.05393180236604036,7016,0.3903933865450399,7016,0.3903933865450399,6314,0.4053089102763117
CSK,103,1,108,1,0.009708737864077669,288,0.02356020942408377,2,0.009615384615384616,28,0.007692307692307693,7016,0.01468072976054732,108,0.02926829268292683
EHMT1,916,65,5226,6025,0.13266971279373369,288,0.06079295154185022,130,0.025490196078431372,288,0.06079295154185022,7016,0.1305587229190422,5226,0.13383791766660513
HDAC8,39,0,29,3,0.0,288,0.009259259259259259,2,0.0,28,0.015151515151515152,7016,0.005558722919042189,29,0.030303030303030304
KRT18,4,9,2,6025,0.0006639004149377593,288,0.010380622837370242,18,0.1,288,0.010380622837370242,7016,0.0005701254275940707,2,0.5
SLIRP,173,10,30,6025,0.027690266954070637,288,0.029017857142857144,20,0.03208556149732621,288,0.029017857142857144,7016,0.024657924743443558,30,0.05181347150259067
SMARCB1,1549,171,6276,6025,0.22457558609539208,288,0.05635422656699252,342,0.06415306696679797,7016,0.22078107183580387,7016,0.22078107183580387,6276,0.22745098039215686
VCL,19,1,1,1,0.05263157894736842,288,0.0032679738562091504,2,0.05,28,0.021739130434782608,7016,0.002708095781071836,1,0.05263157894736842
ZNF581,9,1,1,1,0.1111111111111111,288,0.01020408163265306,2,0.1,28,0.027777777777777776,7016,0.001282782212086659,1,0.1111111111111111
ZNF598,209,1,2443,1,0.004784688995215311,288,0.02263374485596708,2,0.009569377990430622,28,0.01282051282051282,7016,0.029789053591790193,2443,0.032308291163877
ARPC2,133,9,237,6025,0.020043067748881895,288,0.03950617283950617,18,0.02027027027027027,288,0.03950617283950617,7016,0.01895667046750285,237,0.04519774011299435
EIF3H,3259,2482,6312,6025,0.47178186429930247,288,0.05722801788375559,4964,0.4413672217353199,7016,0.4645096921322691,7016,0.4645096921322691,6312,0.47791846819024086
GSTZ1,1,1,10,1,0.0,288,0.003472222222222222,2,0.0,28,0.03571428571428571,7016,0.00014253135689851768,10,0.1
HMGCR,239,41,103,6025,0.03708609271523179,288,0.10714285714285714,82,0.13427561837455831,288,0.10714285714285714,7016,0.034064994298745724,103,0.14
IGF1R,113,0,4702,3,0.008695652173913044,288,0.010075566750629723,2,0.008771929824561403,28,0.007142857142857143,7016,0.016106043329532495,4702,0.017970401691331923
KLHDC2,3,1,1,1,0.3333333333333333,288,0.0034482758620689655,2,0.25,28,0.03333333333333333,7016,0.00042759407069555304,1,0.3333333333333333
NFE2L1,78,2,574,1,0.0,288,0.005494505494505495,4,0.0,28,0.0,7016,0.011117445838084378,574,0.013996889580093312
UQCRB,393,269,813,6025,0.060826446280991736,288,0.06572769953051644,538,0.0775462962962963,7016,0.056014823261117445,7016,0.056014823261117445,813,0.08064516129032258
USF2,3086,8,6433,1,0.0003240440699935191,288,0.03879310344827586,16,0.002909796314258002,288,0.03879310344827586,7016,0.43985176738882553,6433,0.4468764249886001
CENPB,1,1,1,1,1.0,288,0.003472222222222222,2,0.5,28,0.03571428571428571,7016,0.00014253135689851768,1,1.0
FUBP1,1679,6,6110,1,0.0005955926146515784,288,0.049626467449306294,12,0.004156769596199525,288,0.049626467449306294,7016,0.23931014823261118,6110,0.2512449799196787
HDAC3,2195,12,6315,6025,0.31583159916760045,288,0.05839727195225917,24,0.008636363636363636,288,0.05839727195225917,7016,0.3128563283922463,6315,0.3216337940674018
