target_gene,n_real,n_src,n_cd4,k_opt,K_S3_bin1src,jac_S3_bin1src,K_S4_bin2src,jac_S4_bin2src,K_S2_regress,jac_S2_regress,K_S1_all,jac_S1_all,K_S5_oracle,jac_S5_oracle
SUPV3L1,1765,267,9.0,5943,6025,0.2650211107502436,6025,0.2650211107502436,292,0.06469979296066253,7016,0.2515678449258837,5943,0.266721446179129
WAC,2739,145,1165.0,6314,6025,0.3991060025542784,6025,0.3991060025542784,5218,0.3730802415875755,7016,0.3903933865450399,6314,0.4053089102763117
CSK,103,1,548.0,108,1,0.009708737864077669,6025,0.015915119363395226,434,0.02091254752851711,7016,0.01468072976054732,108,0.02926829268292683
EHMT1,916,65,469.0,5226,6025,0.13266971279373369,6025,0.13266971279373369,2060,0.1146067415730337,7016,0.1305587229190422,5226,0.13383791766660513
HDAC8,39,0,11.0,29,3,0.0,1,0.0,38,0.02666666666666667,7016,0.005558722919042189,29,0.030303030303030304
KRT18,4,9,0.0,2,6025,0.0006639004149377593,1,0.25,28,0.06666666666666667,7016,0.0005701254275940707,2,0.5
SLIRP,173,10,2.0,30,6025,0.027690266954070637,1,0.005780346820809248,54,0.04608294930875576,7016,0.024657924743443558,30,0.05181347150259067
SMARCB1,1549,171,2130.0,6276,6025,0.22457558609539208,6025,0.22457558609539208,7016,0.22078107183580387,7016,0.22078107183580387,6276,0.22745098039215686
VCL,19,1,2.0,1,1,0.05263157894736842,1,0.05263157894736842,24,0.023809523809523808,7016,0.002708095781071836,1,0.05263157894736842
ZNF581,9,1,6.0,1,1,0.1111111111111111,1,0.1111111111111111,39,0.02127659574468085,7016,0.001282782212086659,1,0.1111111111111111
ZNF598,209,1,,2443,1,0.004784688995215311,1,0.004784688995215311,57,0.019157088122605363,7016,0.029789053591790193,2443,0.032308291163877
ARPC2,133,9,216.0,237,6025,0.020043067748881895,6025,0.020043067748881895,465,0.036395147313691506,7016,0.01895667046750285,237,0.04519774011299435
EIF3H,3259,2482,878.0,6312,6025,0.47178186429930247,6025,0.47178186429930247,7016,0.4645096921322691,7016,0.4645096921322691,6312,0.47791846819024086
GSTZ1,1,1,1.0,10,1,0.0,1,0.0,9,0.0,7016,0.00014253135689851768,10,0.1
HMGCR,239,41,,103,6025,0.03708609271523179,6025,0.03708609271523179,215,0.11274509803921569,7016,0.034064994298745724,103,0.14
IGF1R,113,0,1.0,4702,3,0.008695652173913044,1,0.008849557522123894,6,0.00847457627118644,7016,0.016106043329532495,4702,0.017970401691331923
KLHDC2,3,1,1.0,1,1,0.3333333333333333,1,0.3333333333333333,9,0.09090909090909091,7016,0.00042759407069555304,1,0.3333333333333333
NFE2L1,78,2,65.0,574,1,0.0,6025,0.011938318686784945,104,0.0055248618784530384,7016,0.011117445838084378,574,0.013996889580093312
UQCRB,393,269,360.0,813,6025,0.060826446280991736,6025,0.060826446280991736,5160,0.061150391744697115,7016,0.056014823261117445,813,0.08064516129032258
USF2,3086,8,44.0,6433,1,0.0003240440699935191,6025,0.4336742722265932,165,0.02522863450015768,7016,0.43985176738882553,6433,0.4468764249886001
