target_gene,n_real,h_base,h_w_icc_mul,h_w_icc_gate50,h_w_icc_gate75,h_w_sign_mul,h_w_sign_gate50,h_w_sign_gate75,h_w_corr_mul,h_w_corr_gate50,h_w_corr_gate75
IGF1R,113,0.017699115044247787,0.008849557522123894,0.017699115044247787,0.0,0.008849557522123894,0.017699115044247787,0.0,0.035398230088495575,0.017699115044247787,0.0
ITGAV,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAZF1,115,0.1826086956521739,0.14782608695652175,0.12173913043478261,0.043478260869565216,0.1826086956521739,0.13043478260869565,0.0782608695652174,0.10434782608695652,0.12173913043478261,0.06086956521739131
JMJD8,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
KLHDC2,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
KRT18,4,0.5,0.5,0.5,0.0,0.25,0.5,0.0,0.25,0.5,0.0
MAT2A,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
MAX,3583,0.5500976835054424,0.5540050237231371,0.564052469997209,0.536421992743511,0.5551214066424783,0.592520234440413,0.5475858219369244,0.569913480323751,0.5922411387105777,0.5559586938319844
MGST1,41,0.04878048780487805,0.04878048780487805,0.04878048780487805,0.0,0.04878048780487805,0.04878048780487805,0.0,0.024390243902439025,0.04878048780487805,0.0
MTFR1,4,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
NFE2L1,78,0.01282051282051282,0.02564102564102564,0.01282051282051282,0.01282051282051282,0.038461538461538464,0.0,0.01282051282051282,0.038461538461538464,0.01282051282051282,0.01282051282051282
PACSIN3,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
PAXIP1,1969,0.31183341797866937,0.31843575418994413,0.32046724225495177,0.31183341797866937,0.3148806500761808,0.3148806500761808,0.313864906043677,0.3331640426612494,0.3255459624174708,0.32046724225495177
PPP2R3C,1610,0.2565217391304348,0.26583850931677017,0.2645962732919255,0.27701863354037265,0.2683229813664596,0.2850931677018634,0.3031055900621118,0.2937888198757764,0.28695652173913044,0.3
SLIRP,173,0.06936416184971098,0.08670520231213873,0.07514450867052024,0.08092485549132948,0.08670520231213873,0.06936416184971098,0.09248554913294797,0.10982658959537572,0.07514450867052024,0.08670520231213873
SMARCB1,1549,0.26662362814719176,0.2737249838605552,0.276307295029051,0.25564880568108456,0.26662362814719176,0.2750161394448031,0.2537120723047127,0.28469980632666236,0.2879276952872821,0.27049709489993545
SMARCE1,2411,0.3757776856076317,0.37743674823724593,0.3907092492741601,0.3629199502281211,0.3770219825798424,0.3844877644131066,0.3616756532559104,0.3907092492741601,0.40149315636665284,0.3720447946909996
STRAP,3027,0.489593657086224,0.49388833828873474,0.47770069375619423,0.4651470102411629,0.49388833828873474,0.48166501486620417,0.4628344895936571,0.49917409976874794,0.49454905847373637,0.47241493227618103
SUPV3L1,1765,0.3189801699716714,0.3263456090651558,0.3263456090651558,0.32294617563739375,0.3274787535410765,0.3376770538243626,0.33994334277620397,0.35070821529745044,0.3388101983002833,0.345042492917847
TCF7L2,127,0.05511811023622047,0.031496062992125984,0.031496062992125984,0.0,0.047244094488188976,0.031496062992125984,0.0,0.0,0.023622047244094488,0.0
TUSC3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
UQCRB,393,0.13231552162849872,0.1628498727735369,0.15267175572519084,0.14249363867684478,0.15012722646310434,0.14249363867684478,0.1475826972010178,0.16030534351145037,0.15012722646310434,0.15267175572519084
USF2,3086,0.4475048606610499,0.4533376539209332,0.49189889825016203,0.4782890473104342,0.4607906675307842,0.5142579390797148,0.5129617627997408,0.4847699287103046,0.5123136746597537,0.49416720674011666
VCL,19,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.0
WAC,2739,0.425337714494341,0.4362906170135086,0.457101131799927,0.425337714494341,0.4293537787513691,0.447973713033954,0.41621029572836804,0.45308506754289884,0.4600219058050383,0.4275282949981745
ZNF581,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0
ZNF598,209,0.04784688995215311,0.05741626794258373,0.03349282296650718,0.05263157894736842,0.05741626794258373,0.028708133971291867,0.04784688995215311,0.09090909090909091,0.03827751196172249,0.05263157894736842
