target_gene,n_real,h_eq,h_bk,k_bk,h_zero,h_rand,tau_over_se,pi0,tau
SMARCB1,1659,0.27245328511151296,0.5551537070524413,3672,0.2561784207353828,0.2314647377938517,0.9794592649920665,0.7235206743020535,0.11700740214779605
SMARCE1,2408,0.3700166112956811,0.6760797342192691,4582,0.36212624584717606,0.33970099667774084,0.9159610702956972,0.8664524685624775,0.3483805734481617
STRAP,3052,0.4829619921363041,0.8325688073394495,5542,0.4734600262123198,0.43152031454783746,1.0503036404115966,0.24726740013549298,0.16557057296006644
SUPV3L1,1757,0.3010813887307911,0.6624928856004553,4501,0.30051223676721683,0.2578258394991463,1.0293592228194988,0.5859561934820355,0.2148218411973171
TCF7L2,136,0.014705882352941176,0.17647058823529413,1144,0.007352941176470588,0.022058823529411766,0.28739243676672716,0.8523925222920276,0.05300083739340204
TUSC3,1,1.0,1.0,1,0.0,0.0,16.42536253958658,0.9998112622954968,2.5602032371781087
UQCRB,350,0.13428571428571429,0.4142857142857143,2983,0.04,0.04857142857142857,0.7273959886510529,0.2762186259018854,0.13082757517853216
USF2,3120,0.42948717948717946,0.013782051282051282,107,0.48365384615384616,0.45064102564102565,7.546969810120073,0.9989727917497591,0.9421697746659116
VCL,27,0.037037037037037035,0.037037037037037035,1,0.0,0.0,16.649388652100168,0.9998134902858592,2.628272053233967
WAC,2743,0.4239883339409406,0.7918337586584032,5290,0.4549763033175355,0.3984688297484506,0.7429940391561234,0.5974990993010986,0.09976274883859877
ZNF581,12,0.0,0.0,78,0.0,0.0,0.1600144949803063,0.8959750479149311,0.027731120881909137
ZNF598,194,0.02577319587628866,0.010309278350515464,4,0.030927835051546393,0.015463917525773196,5.671612185682888,0.999781471951206,1.2467170582741969
