target_gene,n_cells,beta_l2,med_abs_beta,r2_k1,r2_k2,r2_k5,r2_k10,r2_k20,r2_k50,r2_k100,r2_k200,r2_rand20
FUBP1,288,25.11957123214325,0.12344511598348618,0.0007025583111641094,0.0007894763275465998,0.0027126201353051553,0.013685738007060619,0.05285117932186756,0.10031526804458074,0.10754331247829044,0.12084901830466019,0.0016158142470967104
GNG12,400,14.799778106675651,0.0744921937584877,0.0025386380518057834,0.0030347976494427735,0.003222063457991616,0.017314906571598253,0.07293119963495959,0.09270009735572109,0.10139707201362631,0.11408775599416911,0.0025942943059965203
GSTZ1,400,11.234331876329787,0.04942870885133743,0.0070351506713716835,0.007976233744644517,0.012157295358203429,0.014593155182445349,0.017684644214566916,0.020815276444941477,0.0263601472710649,0.03325399158235165,0.002512912665009332
HDAC3,400,28.140486187886395,0.12293586879968643,0.00056095243080664,0.002984467471441181,0.017116065859859926,0.08892434537387674,0.16305485947732268,0.22631586533229292,0.23306057694471738,0.24216730860357835,0.00249256141055578
HDAC8,400,12.710477721017584,0.0570201501250267,0.009490425255601993,0.01177069018441123,0.020585130811551083,0.024480738353285635,0.03986306993931666,0.05491812471960521,0.061393296498311725,0.07094634129064249,0.0017864647897924489
HMGCR,400,15.970081490324874,0.06662514060735703,0.014088759991231582,0.03195338684645115,0.046935586317079434,0.07041524228229916,0.2423350077845439,0.2616677069790352,0.26730495758451134,0.27578775617455253,0.00178988006659445
HMGXB4,400,11.802134330529347,0.05248198285698891,0.004317941584322302,0.004415442350874741,0.014162571517507631,0.029806918476723645,0.03387213174097834,0.043256873858387335,0.047877663050825026,0.057728395928634324,0.002330480139253466
HTATSF1,400,19.002544031984243,0.1018657386302948,0.023023370184922506,0.023192405295757012,0.033973822949598796,0.07411216251186571,0.10857078976939283,0.1497749487509567,0.15712124007472353,0.16976893180564306,0.0021965477546491774
IGF1R,400,13.08565414805167,0.06252793222665787,0.005083990563659073,0.008561202087922899,0.04202657495347983,0.1131404532198944,0.1498976587446781,0.17721832284294067,0.18256722901967506,0.19078418098569472,0.001983449046557062
ITGAV,400,11.326910629953135,0.04975559934973717,0.002270790039767146,0.0022857238485551657,0.005087994414854933,0.010554796074295119,0.015042610725581239,0.019393242466250495,0.023893402771129172,0.03201717547174501,0.002903755889936927
JAZF1,400,15.675447370603324,0.061811525374650955,0.009047807778602927,0.009079284858747639,0.011049994976242096,0.024498494751104466,0.05300482588145682,0.06516456719332085,0.06994185667783795,0.0775056008069807,0.002321855522653081
JMJD8,400,12.13851144428376,0.051290303468704224,0.012392269501023219,0.014314932485534575,0.021789739285260474,0.02442423184353926,0.03501615810236239,0.04226239814811075,0.04764404610005425,0.05821282523193923,0.001915970867752569
KLHDC2,400,11.419434000877215,0.05065513402223587,0.0008268892357331781,0.001149028905851976,0.010573114331857186,0.017747000481621956,0.022935059024432367,0.027358977118510593,0.03141745168159313,0.03817004660125376,0.002829510255499512
KRT18,400,11.661125901893207,0.04865097999572754,0.000421060266305462,0.0013712335077892485,0.004256879023710048,0.005251774698579071,0.00893415923290566,0.013730471333943093,0.016984758082822966,0.02257034973771018,0.0015543614339963152
MAT2A,400,11.048414325433551,0.0486253947019577,5.4615431451384004e-05,0.0013909365658766025,0.006058126960280196,0.008321729676681192,0.014263643959552555,0.016454531109039675,0.020993049306277534,0.0284243480128848,0.002125719366424565
MAX,161,52.0811650590331,0.2894677519798279,0.060626370251587146,0.07103692953475306,0.10922854936902046,0.17147680965917222,0.3686830265487904,0.4059322679206271,0.41359465089063313,0.42382877298363864,0.0011344701005118185
MGST1,400,12.858635733990333,0.055144358426332474,0.0014660344405054975,0.0015055181954870321,0.004437833650008703,0.014221473296279132,0.024561331593395287,0.03516904803037426,0.03816863641699377,0.046389143479643534,0.0013851760830177653
MTFR1,400,11.054364159913517,0.04878155142068863,0.00010885410087500437,0.002458325094620588,0.0028858637534078927,0.005833885628852541,0.008614589706174049,0.011215730102704881,0.015274101270642073,0.024009055331246823,0.0013031943856609124
NFE2L1,400,11.826056880376088,0.05913582071661949,0.014432861258177061,0.016839755632432566,0.04564543692716379,0.06764848872597015,0.08593192376956478,0.12300048071163652,0.12807728819720918,0.13474799407085947,0.0017723752664589184
PACSIN3,400,11.599256004941182,0.0510740652680397,0.0005491090122599163,0.0019373872842148468,0.011877209446998676,0.03164023013945278,0.04944691772840339,0.05616882733932808,0.059263300671751847,0.06698951436099083,0.002138527377437413
PAXIP1,400,27.573140484389423,0.11951284110546112,0.028591566533369684,0.029270534992625476,0.03545283081880184,0.13424902355384336,0.19904657815952542,0.2546761920542667,0.2658361214592086,0.2736632650407068,0.0015778750706665074
PPP2R3C,400,25.601752030500766,0.1068040281534195,0.004609337228398322,0.013483293440158795,0.025894499039379123,0.044581236553542604,0.1709966269319505,0.3074004030957395,0.31740725855414453,0.329305045364101,0.0014946523603631028
SH3BP4,400,10.905352798764804,0.05028194934129715,0.012593855071057071,0.013319231480084986,0.01684810621182511,0.027915355665778782,0.041092199635064566,0.04543501771206411,0.04926041330737056,0.05917444521134673,0.00152164285352743
SLIRP,400,13.966708245287592,0.06393291801214218,0.007593715205633776,0.013343575891279422,0.01645778411328252,0.031299751983684655,0.059007245989099844,0.1288728960286257,0.1356064687855277,0.14696337534353388,0.0025159473710008526
SMARCB1,400,26.20120325019087,0.10578487068414688,0.004658735629574171,0.006053285021532467,0.030428243401786646,0.0691733456078799,0.15171027482501703,0.20746261935587348,0.21595647043573307,0.22473618082187008,0.0013275988700122319
SMARCE1,400,34.981278126105366,0.13041764497756958,0.010970269977944962,0.014148563958562585,0.018287652475687734,0.03047302913960413,0.13587632639221617,0.2025170016520579,0.2115641908941393,0.2230642038125319,0.0021703711981021037
