target_gene,n_real,r_raw,h_raw,r_k5,h_k5,r_k10,h_k10,r_k20,h_k20,r_k50,h_k50,r_k100,h_k100,r_k200,h_k200,r_k400,h_k400
MAT2A,7,0.19170589745044708,0.14285714285714285,-0.03619097173213959,0.0,-0.009927721694111824,0.0,0.0110674062743783,0.0,0.012600488029420376,0.0,0.013303703628480434,0.0,0.009755084291100502,0.0,0.015160849317908287,0.0
MGST1,69,0.40407514572143555,0.18840579710144928,0.05458466336131096,0.014492753623188406,0.08044108748435974,0.028985507246376812,0.10451575368642807,0.014492753623188406,0.1253771036863327,0.028985507246376812,0.12402617931365967,0.014492753623188406,0.12456849217414856,0.014492753623188406,0.12340068817138672,0.043478260869565216
NFE2L1,94,0.2862369418144226,0.1276595744680851,0.14614266157150269,0.02127659574468085,0.19967815279960632,0.02127659574468085,0.24025174975395203,0.07446808510638298,0.29542845487594604,0.18085106382978725,0.2971731424331665,0.18085106382978725,0.2948179244995117,0.18085106382978725,0.290402889251709,0.18085106382978725
PACSIN3,11,0.2471269965171814,0.09090909090909091,0.04924728721380234,0.0,0.08780713379383087,0.0,0.15225282311439514,0.0,0.17247146368026733,0.0,0.1704142838716507,0.0,0.164048433303833,0.0,0.16277877986431122,0.0
PAXIP1,3305,0.8645962476730347,0.5757942511346444,0.182044118642807,0.335249621785174,0.3594070374965668,0.4317700453857791,0.43687719106674194,0.45052950075642967,0.4968237280845642,0.4659606656580938,0.5077863931655884,0.4556732223903177,0.5174545049667358,0.4586989409984871,0.5356390476226807,0.4568835098335855
SH3BP4,5,0.15627771615982056,0.4,0.1065252274274826,0.0,0.11350668966770172,0.0,0.12386254221200943,0.0,0.1304563283920288,0.0,0.12464503943920135,0.0,0.11933846771717072,0.2,0.11476991325616837,0.2
SLIRP,251,0.4664977788925171,0.17131474103585656,0.08273953199386597,0.02390438247011952,0.11282248795032501,0.03187250996015936,0.18748924136161804,0.0796812749003984,0.3243269920349121,0.2350597609561753,0.32918471097946167,0.250996015936255,0.3317708969116211,0.24302788844621515,0.3352575898170471,0.24302788844621515
SMARCB1,2892,0.8528622984886169,0.5746887966804979,0.19537287950515747,0.3153526970954357,0.27041614055633545,0.36721991701244816,0.38586533069610596,0.39730290456431533,0.45674434304237366,0.3983402489626556,0.46305137872695923,0.4017980636237898,0.47476017475128174,0.39903181189488246,0.494906485080719,0.40836791147994467
THY1,7,0.22046250104904175,0.42857142857142855,0.057127904146909714,0.0,0.022993844002485275,0.0,0.04581151902675629,0.0,0.05421444773674011,0.0,0.053476158529520035,0.0,0.05962250754237175,0.0,0.067430779337883,0.0
UQCRB,553,0.5167158842086792,0.1717902350813743,0.15074867010116577,0.08860759493670886,0.18640011548995972,0.0867992766726944,0.2640535831451416,0.09403254972875226,0.39543861150741577,0.16998191681735986,0.4013547897338867,0.18264014466546113,0.4049711227416992,0.18083182640144665,0.4117899239063263,0.19349005424954793
USF2,4600,0.9016095995903015,0.681304347826087,0.2885097861289978,0.4915217391304348,0.29766014218330383,0.48543478260869566,0.5720670223236084,0.56,0.6138231158256531,0.5671739130434783,0.6181727647781372,0.5684782608695652,0.6255496740341187,0.5695652173913044,0.6367791891098022,0.5695652173913044
VCL,79,0.30700045824050903,0.0759493670886076,0.03683872148394585,0.0,0.1957131326198578,0.02531645569620253,0.3100278377532959,0.13924050632911392,0.3253917098045349,0.17721518987341772,0.3207860291004181,0.17721518987341772,0.3132578730583191,0.17721518987341772,0.30187883973121643,0.189873417721519
ZNF581,19,0.1375187337398529,0.3684210526315789,-0.06460913270711899,0.0,-0.023399796336889267,0.0,0.012716500088572502,0.0,0.03081139177083969,0.0,0.036607831716537476,0.0,0.04519234597682953,0.0,0.0406307652592659,0.05263157894736842
